[INFO ] [2021-12-25 17:20:41,142] Pre-condition - Open browser 'firefox' and navigate to 'https://demo.nopcommerce.com/'
[INFO ] [2021-12-25 17:20:47,272] User_02_Login- Step 01: click to Login link
[INFO ] [2021-12-25 17:20:47,280] User_01_Register- Step 01: Verify Home page is displayed
[INFO ] [2021-12-25 17:20:47,282] User_01_Register- Step 02: click to Register link
[INFO ] [2021-12-25 17:20:51,719] User_01_Register- Step 03: enter to first Name textbox
[INFO ] [2021-12-25 17:20:51,808] User_01_Register- Step 04:  enter to last Name textbox
[INFO ] [2021-12-25 17:20:51,897] User_01_Register- Step 05:  enter to email textbox with valueauto9597@mail.com
[INFO ] [2021-12-25 17:20:51,979] User_01_Register- Step 06:  enter to password textbox with value123456
[INFO ] [2021-12-25 17:20:52,092] User_01_Register- Step 07:  enter to confirm password textbox with value123456
[INFO ] [2021-12-25 17:20:52,200] User_01_Register- Step 08: click to Register button
[INFO ] [2021-12-25 17:20:53,694] User_01_Register- Step 09: verify successmessage is displayed
[INFO ] [2021-12-25 17:20:53,755] User_01_Register- Step 10: click to Logout link
[INFO ] [2021-12-25 17:20:55,160] Post-condition: close browser
[INFO ] [2021-12-25 17:22:24,063] Pre-condition - Open browser 'chrome' and navigate to 'https://demo.nopcommerce.com/'
[INFO ] [2021-12-25 17:22:50,209] Pre-condition - Open browser 'chrome' and navigate to 'https://demo.nopcommerce.com/'
[INFO ] [2021-12-25 17:23:17,953] Pre-condition - Open browser 'firefox' and navigate to 'https://demo.nopcommerce.com/'
[INFO ] [2021-12-25 17:23:23,427] User_02_Login- Step 01: click to Login link
[INFO ] [2021-12-25 17:23:23,435] User_01_Register- Step 01: Verify Home page is displayed
[INFO ] [2021-12-25 17:23:23,438] User_01_Register- Step 02: click to Register link
[INFO ] [2021-12-25 17:23:27,917] User_01_Register- Step 03: enter to first Name textbox
[INFO ] [2021-12-25 17:23:28,041] User_01_Register- Step 04:  enter to last Name textbox
[INFO ] [2021-12-25 17:23:28,126] User_01_Register- Step 05:  enter to email textbox with valueauto3229@mail.com
[INFO ] [2021-12-25 17:23:28,224] User_01_Register- Step 06:  enter to password textbox with value123456
[INFO ] [2021-12-25 17:23:28,300] User_01_Register- Step 07:  enter to confirm password textbox with value123456
[INFO ] [2021-12-25 17:23:28,375] User_01_Register- Step 08: click to Register button
[INFO ] [2021-12-25 17:23:30,542] User_01_Register- Step 09: verify successmessage is displayed
[INFO ] [2021-12-25 17:23:30,591] User_01_Register- Step 10: click to Logout link
[INFO ] [2021-12-25 17:23:32,913] Post-condition: close browser
[INFO ] [2021-12-25 17:24:05,607] Pre-condition - Open browser 'firefox' and navigate to 'https://demo.nopcommerce.com/'
[INFO ] [2021-12-25 17:24:11,082] User_01_Register- Step 01: Verify Home page is displayed
[INFO ] [2021-12-25 17:24:11,085] User_01_Register- Step 02: click to Register link
[INFO ] [2021-12-25 17:24:15,545] User_01_Register- Step 03: enter to first Name textbox
[INFO ] [2021-12-25 17:24:15,636] User_01_Register- Step 04:  enter to last Name textbox
[INFO ] [2021-12-25 17:24:15,710] User_01_Register- Step 05:  enter to email textbox with valueauto2259@mail.com
[INFO ] [2021-12-25 17:24:15,792] User_01_Register- Step 06:  enter to password textbox with value123456
[INFO ] [2021-12-25 17:24:15,917] User_01_Register- Step 07:  enter to confirm password textbox with value123456
[INFO ] [2021-12-25 17:24:15,994] User_01_Register- Step 08: click to Register button
[INFO ] [2021-12-25 17:24:16,754] User_01_Register- Step 09: verify successmessage is displayed
[INFO ] [2021-12-25 17:24:16,808] User_01_Register- Step 10: click to Logout link
[INFO ] [2021-12-25 17:24:19,246] User_02_Login- Step 01: click to Login link
[INFO ] [2021-12-25 17:24:20,409] User_02_Login- Step 02: input email textbox
[INFO ] [2021-12-25 17:24:20,485] User_02_Login- Step 03: input password textbox
[INFO ] [2021-12-25 17:24:20,581] User_02_Login- Step 04: click to Login button
[INFO ] [2021-12-25 17:24:22,052] User_02_Login- Step 05: verify my account link is displayed
[INFO ] [2021-12-25 17:24:22,137] User_02_Login- Step 06: click to my account link
[INFO ] [2021-12-25 17:24:23,387] User_02_Login- Step 01: verify page customer infor is displayed
[INFO ] [2021-12-25 17:24:23,462] Post-condition: close browser
[INFO ] [2021-12-25 17:28:30,135] Pre-condition - Open browser 'firefox' and navigate to 'https://demo.nopcommerce.com/'
[INFO ] [2021-12-25 17:28:35,681] User_01_Register- Step 01: Verify Home page is displayed
[INFO ] [2021-12-25 17:28:35,684] User_01_Register- Step 02: click to Register link
[INFO ] [2021-12-25 17:28:40,148] User_01_Register- Step 03: enter to first Name textbox
[INFO ] [2021-12-25 17:28:40,240] User_01_Register- Step 04:  enter to last Name textbox
[INFO ] [2021-12-25 17:28:40,342] User_01_Register- Step 05:  enter to email textbox with valueauto9096@mail.com
[INFO ] [2021-12-25 17:28:40,455] User_01_Register- Step 06:  enter to password textbox with value123456
[INFO ] [2021-12-25 17:28:40,531] User_01_Register- Step 07:  enter to confirm password textbox with value123456
[INFO ] [2021-12-25 17:28:40,623] User_01_Register- Step 08: click to Register button
[INFO ] [2021-12-25 17:28:42,860] User_01_Register- Step 09: verify successmessage is displayed
[INFO ] [2021-12-25 17:28:42,916] User_01_Register- Step 10: click to Logout link
[INFO ] [2021-12-25 17:28:44,378] User_02_Login- Step 01: click to Login link
[INFO ] [2021-12-25 17:28:45,550] User_02_Login- Step 02: input email textbox
[INFO ] [2021-12-25 17:28:45,647] User_02_Login- Step 03: input password textbox
[INFO ] [2021-12-25 17:28:45,723] User_02_Login- Step 04: click to Login button
[INFO ] [2021-12-25 17:28:47,419] User_02_Login- Step 05: verify my account link is displayed
[INFO ] [2021-12-25 17:28:47,515] User_02_Login- Step 06: click to my account link
[INFO ] [2021-12-25 17:28:48,126] User_02_Login- Step 01: verify page customer infor is displayed
[INFO ] [2021-12-25 17:28:48,197]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-12-25 17:28:48,198] Post-condition: close browser
[INFO ] [2021-12-25 19:18:12,479] Pre-condition - Open browser 'firefox' and navigate to 'https://demo.nopcommerce.com/'
[INFO ] [2021-12-25 19:18:18,010] User_01_Register- Step 01: Verify Home page is displayed
[INFO ] [2021-12-25 19:18:18,014] User_01_Register- Step 02: click to Register link
[INFO ] [2021-12-25 19:18:21,671] User_01_Register- Step 03: enter to first Name textbox
[INFO ] [2021-12-25 19:18:21,768] User_01_Register- Step 04:  enter to last Name textbox
[INFO ] [2021-12-25 19:18:21,859] User_01_Register- Step 05:  enter to email textbox with valueauto9462@mail.com
[INFO ] [2021-12-25 19:18:21,951] User_01_Register- Step 06:  enter to password textbox with value123456
[INFO ] [2021-12-25 19:18:22,026] User_01_Register- Step 07:  enter to confirm password textbox with value123456
[INFO ] [2021-12-25 19:18:22,111] User_01_Register- Step 08: click to Register button
[INFO ] [2021-12-25 19:18:24,116] User_01_Register- Step 09: verify successmessage is displayed
[INFO ] [2021-12-25 19:18:24,180] User_01_Register- Step 10: click to Logout link
[INFO ] [2021-12-25 19:18:24,960] User_02_Login- Step 01: click to Login link
[INFO ] [2021-12-25 19:18:26,045] User_02_Login- Step 02: input email textbox
[INFO ] [2021-12-25 19:18:26,144] User_02_Login- Step 03: input password textbox
[INFO ] [2021-12-25 19:18:26,228] User_02_Login- Step 04: click to Login button
[INFO ] [2021-12-25 19:18:27,603] User_02_Login- Step 05: verify my account link is displayed
[INFO ] [2021-12-25 19:18:27,729] User_02_Login- Step 06: click to my account link
[INFO ] [2021-12-25 19:18:28,869] User_02_Login- Step 01: verify page customer infor is displayed
[INFO ] [2021-12-25 19:18:28,943]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-12-25 19:18:28,944] Post-condition: close browser
[INFO ] [2021-12-25 19:24:39,333] Pre-condition - Open browser 'firefox' and navigate to 'https://demo.nopcommerce.com/'
[INFO ] [2021-12-25 19:24:44,851] User_01_Register- Step 01: Verify Home page is displayed
[INFO ] [2021-12-25 19:24:44,857] User_01_Register- Step 02: click to Register link
[INFO ] [2021-12-25 19:24:49,326] User_01_Register- Step 03: enter to first Name textbox
[INFO ] [2021-12-25 19:24:49,440] User_01_Register- Step 04:  enter to last Name textbox
[INFO ] [2021-12-25 19:24:49,522] User_01_Register- Step 05:  enter to email textbox with valueauto6741@mail.com
[INFO ] [2021-12-25 19:24:49,606] User_01_Register- Step 06:  enter to password textbox with value123456
[INFO ] [2021-12-25 19:24:49,711] User_01_Register- Step 07:  enter to confirm password textbox with value123456
[INFO ] [2021-12-25 19:24:49,790] User_01_Register- Step 08: click to Register button
[INFO ] [2021-12-25 19:24:50,586] User_01_Register- Step 09: verify successmessage is displayed
[INFO ] [2021-12-25 19:24:50,643] User_01_Register- Step 10: click to Logout link
[INFO ] [2021-12-25 19:24:53,001] User_02_Login- Step 01: click to Login link
[INFO ] [2021-12-25 19:24:53,500] User_02_Login- Step 02: input email textbox
[INFO ] [2021-12-25 19:24:53,588] User_02_Login- Step 03: input password textbox
[INFO ] [2021-12-25 19:24:53,706] User_02_Login- Step 04: click to Login button
[INFO ] [2021-12-25 19:24:55,186] User_02_Login- Step 05: verify my account link is displayed
[INFO ] [2021-12-25 19:24:55,272] User_02_Login- Step 06: click to my account link
[INFO ] [2021-12-25 19:24:55,761] User_02_Login- Step 01: verify page customer infor is displayed
[INFO ] [2021-12-25 19:24:55,850]  -------------------------- FAILED -------------------------- 
[INFO ] [2021-12-25 19:24:55,855] Post-condition: close browser
[INFO ] [2021-12-25 19:25:46,718] Pre-condition - Open browser 'firefox' and navigate to 'https://demo.nopcommerce.com/'
[INFO ] [2021-12-25 19:25:52,353] User_01_Register- Step 01: Verify Home page is displayed
[INFO ] [2021-12-25 19:25:52,359] User_01_Register- Step 02: click to Register link
[INFO ] [2021-12-25 19:25:56,751] User_01_Register- Step 03: enter to first Name textbox
[INFO ] [2021-12-25 19:25:56,863] User_01_Register- Step 04:  enter to last Name textbox
[INFO ] [2021-12-25 19:25:56,949] User_01_Register- Step 05:  enter to email textbox with valueauto557@mail.com
[INFO ] [2021-12-25 19:25:57,028] User_01_Register- Step 06:  enter to password textbox with value123456
[INFO ] [2021-12-25 19:25:57,106] User_01_Register- Step 07:  enter to confirm password textbox with value123456
[INFO ] [2021-12-25 19:25:57,201] User_01_Register- Step 08: click to Register button
[INFO ] [2021-12-25 19:25:59,239] User_01_Register- Step 09: verify successmessage is displayed
